指标名称,中国:出口金额:集成电路:当月值,中国:进口金额:集成电路:当月值,中国:进口数量:制造半导体器件或集成电路用的机器及装置:当月值,半导体:销售额:集成电路,半导体:销售额:集成电路:模拟电路,中国:销售额:集成电路产业,半导体:销售额:集成电路:记忆体,半导体:销售额:集成电路:微处理器,半导体:销售额:集成电路:逻辑电路,中国:销售额:集成电路产业,半导体:销售额:集成电路:同比,半导体:销售额:集成电路:记忆体,半导体:销售额:集成电路:微处理器,半导体:销售额:集成电路:逻辑电路,中国:集成电路布图设计登记状况:申请量:累计值,中国:进口金额:制造半导体器件或集成电路用的机器及装置:当月值,中国:产量:集成电路硅片,中国:库存:集成电路硅片,中国:库存:集成电路、分立器件芯片制造设备,中国:库存:集成电路、分立器件芯片制造设备:匀胶、显影设备,中国:销售额:集成电路产业:设计业,中国:销售额:集成电路产业:制造业
1983-01-31,,,,,,,,,,,,,,,,,,,,,,
1983-02-28,,,,,,,,,,,,,,,,,,,,,,
1983-03-31,,,,,,,,,,,,,,,,,,,,,,
1983-04-30,,,,,,,,,,,,,,,,,,,,,,
1983-05-31,,,,,,,,,,,,,,,,,,,,,,
1983-06-30,,,,,,,,,,,,,,,,,,,,,,
1983-07-31,,,,,,,,,,,,,,,,,,,,,,
1983-08-31,,,,,,,,,,,,,,,,,,,,,,
1983-09-30,,,,,,,,,,,,,,,,,,,,,,
1983-10-31,,,,,,,,,,,,,,,,,,,,,,
1983-11-30,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,,,,,,,,,,,,,,,,,,,,,,
1984-01-31,,,,,,,,,,,,,,,,,,,,,,
1984-02-29,,,,,,,,,,,,,,,,,,,,,,
1984-03-31,,,,,,,,,,,,,,,,,,,,,,
1984-04-30,,,,,,,,,,,,,,,,,,,,,,
1984-05-31,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,,,,,,,,,,,
1984-07-31,,,,,,,,,,,,,,,,,,,,,,
1984-08-31,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,,,,,,,,,,,
