,,China car sales 2010-2022 | Statista,,,,,,,,,,
年份,中国新能源汽车销量（万辆）,中国汽车总销量（万辆）,中国新能源汽车保有量（万辆）,中国新能源汽车市场占有率,,,,,,,,
2011,0.82,1850,0.7,0.044,,,,,,,,
2012,1.28,1931,1.1,0.066,,,,,,,,
2013,1.7642,2199,3,0.080,,,,,,,,
2014,7.48,2350,12,0.318,,,,,,,,
2015,33.11,2460,42,1.346,,,,,,,,
2016,50.7,2803,91.28,1.809,,,,,,,,
2017,77.7,2888,153.4,2.690,,,,,,,,
2018,125.6,2808,260.78,4.473,,,,,,,,
2019,120.6,2576,380.87,4.682,,,,,,,,
2020,136.7,2531,492.02,5.401,,,,,,,,
2021,352.1,2627,784,13.403,,,,,,,,
2022,606.7,2686,1310,22.587,,,,,,,,
,,,,,,,,,,,,
数据可视化如下,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
原始数据矩阵,,,,,,,,,,,,
年份,中国新能源汽车销量（万辆）,中国新能源汽车保有量（万辆）,中国新能源汽车市场占有率,,,,,,,,,
2011,0.82,0.7,0.044,,,,,,,,,
2012,1.28,1.1,0.066,,,,,,,,,
2013,1.7642,3,0.080,,,,,,,,,
2014,7.48,12,0.318,,,,,,,,,
2015,33.11,42,1.346,,,,,,,,,
2016,50.7,91.28,1.809,,,,,,,,,
2017,77.7,153.4,2.690,,,,,,,,,
2018,125.6,260.78,4.473,,,,,,,,,
2019,120.6,380.87,4.682,,,,,,,,,
2020,136.7,492.02,5.401,,,,,,,,,
2021,352.1,784,13.403,,,,,,,,,
2022,606.7,1310,22.587,,,,,,,,,
,,,,,,,,,,,,
已知，这里的数据均为正向化指标，故无需进行正向化,,,,,,,,,,,,
,,,,,,,,,,,,
标准化的目的是消除不同量纲的影响,,,,,,,,,,,,
对矩阵进行标准化：每一个元素/ sqrt（其所在列的元素的平方和）,,,,,,,,,,,,
,,,,,,,,,,,,
"矩阵 = 【x2011,sale  x2011,have  x2011,percent  ;    x2012,sale     x2012,have    x2012,percent ;              .......】",,,,,,,,,,,,
,,,,,,,,,,,,
标准化数据如下表,,,,,,,,,,,,
年份,中国新能源汽车销量（万辆）,中国新能源汽车保有量（万辆）,中国新能源汽车市场占有率,,,,,,,,,
2011,0.0011,0.0004,0.0016,,,,,,,,,
2012,0.0017,0.0007,0.0024,,,,,,,,,
2013,0.0024,0.0018,0.0029,,,,,,,,,
2014,0.0101,0.0071,0.0114,,,,,,,,,
2015,0.0446,0.0250,0.0484,,,,,,,,,
2016,0.0683,0.0544,0.0650,,,,,,,,,
2017,0.1047,0.0914,0.0967,,,,,,,,,
2018,0.1692,0.1553,0.1608,,,,,,,,,
2019,0.1625,0.2268,0.1683,,,,,,,,,
2020,0.1842,0.2930,0.1942,,,,,,,,,
2021,0.4744,0.4669,0.4820,,,,,,,,,
2022,0.8175,0.7801,0.8122,,,,,,,,,
,,,,,,,,,,,,
为了给3个指标确定权重，我们使用熵权法来进行计算,,,,,,,,,,,,
对于第 j 个指标，信息熵的计算公式为：,,,,,,,,,,,,
"ej = (-1 /ln n) * sum(i = 1 to n)(p_ij * ln p_ij)         j = 1,(sale) 2(have),3(percent)",,,,,,,,,,,,
其中 p_ij = z_ij / sum(i = 1 to n)(z_ij),,,,,,,,,,,,
,,,,,,,,,,,,
