,燃油车平均价格,新能源汽车平均价格,燃油价格（美元/升）,充电成本（元/千瓦时）,新能源汽车占比,全球:电动汽车电力需求,印度:电动汽车电力需求,中国:电动汽车电力需求,美国:电动汽车电力需求,欧洲:电动汽车电力需求,,,,,,,,
年份,,,,,,,,,,,,,,,,,,
2011,,196280,1.08,0.3852,,2200,0,2400,130,160,,,,,,,,
2012,,250000,1.08,0.3785,,4500,0,800,600,480,,,,,,,,
2013,,328740,1.05,0.3717,,5900,0,1800,540,420,,,,,,,,
2014,,,1.02,0.3654,,4500,0,1500,1600,1100,,,,,,,,
2015,,,0.84,0.3484,,6200,0,3300,1900,830,,,,,,,,
2016,,,0.78,0.3245,,18000,0,2700,7000,2100,,,,,,,,
2017,,,0.84,0.3328,,11000,0,7900,3700,1300,,,,,,,,
2018,,,0.93,0.353,,30000,0,6500,10000,1800,,,,,,,,
2019,,,0.91,0.375,,21000,0.01,20000,6300,5400,,,,,,,,
2020,,,1.34,0.3598,,24000,0.05,13000,5400,3900,,,,,,,,
2021,,,0.81,0.3649,,34000,0.12,22000,6500,4000,,,,,,,,
2022,,,1.29,0.3961,,65000,210,25000,15000,19000,,,,,,,,
资料来源：,,,iea,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,2011,,2012,2013,,2014,,2015,,2016,,2017,,2018,,2019
,,凯越,10,凯美瑞,18,6.1,福克斯,12.48,,,,,,,,,,
,,朗逸,13.48,福克斯,13.09,10.58,速腾,12.79,,,,,,,,,,
,,科鲁兹,16,赛欧,5.68,12.38,朗逸,12.79,,,,,,,,,,
,,凯美瑞,18,凯越,10,18.59,轩逸,10.86,,,,,,,,,,
,,捷达,8.8,朗逸,13.48,13.98,桑塔纳,11.88,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,200000,nissan leaf,200000,比亚迪秦,184620,比亚迪秦、唐,237210,model s,828900,model s,782900,model 3,363900
,,,,,,254000,chevy volt,254000,BMW i3,353900,model s,828900,chevy bolt,174715,model 3,363900,北汽EC,61800
,,,,,,191000,toyota pruis,191000,Venucia E30,61800,nissan leaf,200000,丰田普锐斯prime,230000,北汽EC,61800,nissan leaf,180000
,,,,,,828900,model s,828900,nissan leaf,200000,大众e golf,268000,北汽EC,61800,nissan leaf,180000,宝骏 e 系列 ,70000
,,,,,,169800,mitsubushi outlander phev,169800,model s,828900,BMW i3,353900,nissan leaf,200000,model x,930000,宝马i3,509500
