序号,新能源汽车销售量（万）,级比值,,,,,,,,,,,,,,,
2011,0.82,-,,,,,,,,,,,,,,,
2012,1.28,0.640625,,,,,,,,,,,,,,,
2013,1.7642,0.7255413218,,,,,,,,,,,,,,,
2014,7.48,0.235855615,,,,,,,,,,,,,,,
2015,33.11,0.2259136213,,,,,,,,,,,,,,,
2016,50.7,0.6530571992,,,,,,,,,,,,,,,
2017,77.7,0.6525096525,,,,,,,,,,,,,,,
2018,125.6,0.6186305732,,,,,,,,,,,,,,,
2019,120.6,1.04145937,,,,,,,,,,,,,,,
2020,136.7,0.8822238478,,,,,,,,,,,,,,,
2021,352.1,0.3882419767,,,,,,,,,,,,,,,
2022,606.7,0.5803527279,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,级比值检验,,,,,,,,,,,,,,,
,,用于判断数据序列进行模型构建的适用性,,,,,,,,,,,,,,,
,,级比值为上一期数据/当期数据,,,,,,,,,,,,,,,
,,"【e^(-2/(n+1)), e^(2/(n+1))】, n是样本量",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,n=12，计算出【0.857，1.166】,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,
,,,,0.82,1.28,1.7642,7.48,33.11,50.7,77.7,125.6,120.6,136.7,352.1,606.7,,
,,,,0.82,1.28,1.76,7.48,33.11,50.7,77.7,125.6,120.6,136.7,352.1,,,
,,,,,,,,,,,,,,,,,
没用到的数据,,,,,,,,,,,,,,,,,
年份,民用汽车拥有量（万辆）,,,,,,,,,,,,,,,,
2011,9356.32,,,,,,,,,,,,,,,,
2012,10933.09,,,,,0.82,1.28,1.7642,7.48,33.11,50.7,77.7,125.6,120.6,136.7,352.1,606.7
2013,12670.14,,,,,,,,,,,,,,,,
2014,14598.11,,,,,,,,,,,,,,,,
2015,16284.45,,,,,,,,,,,,,,,,
2016,18574.54,,,,,,,,,,,,,,,,
2017,20906.67,,,,,,,,,,,,,,,,
2018,23231.23,,,,,,,,,,,,,,,,
2019,25376.38,,,,,,,,,,,,,,,,
2020,27340.92,,,,,,,,,,,,,,,,
2021,29418.59,,,,,,,,,,,,,,,,
2022,31184.44,,,,,,,,,,,,,,,,
资料来源：,国家统计局,,,,,,,,,,,,,,,,
