Month,Level,PM2.5,PM10,CO,NO2,SO2,O3,lifeused_fuel,LogisticUsed,ebusQ,AQI
2023/12/13,1,73,97,1.73,56,56,38,180.7,1325,3012,100
2023/1/14,1,94,123,1.948,65,65,37,170.34,1328.54,3304,125
2023/2/14,0,148,155,2.171,69,69,42,162.37,1330.8,3531,184
2023/3/14,1,94,138,1.39,62,62,83,156.65,1331.85,3699,130
2023/4/14,1,89,145,0.927,57,57,129,153.04,1331.8,3816,127
2023/5/14,1,61,118,0.839,47,47,149,151.41,1330.75,3888,107
2023/6/14,1,54,74,0.79,39,39,168,151.6,1328.8,3921,116
2023/7/14,1,89,100,0.939,39,39,170,153.49,1326.03,3923,140
2023/8/14,1,62,88,0.839,43,43,172,156.92,1322.55,3900,120
2023/9/14,2,65,88,0.983,49,49,106,161.77,1318.46,3860,99
2023/10/14,0,118,148,1.339,70,70,54,167.88,1313.85,3808,154
2023/11/14,1,86,127,1.567,65,65,37,175.13,1308.81,3752,117
2023/12/14,2,58,95,1.552,53,53,42,182.5,1304,3704,86
2023/1/15,1,97,120,1.91,66,66,39,192.45,1297.87,3654,126
2023/2/15,1,93,114,1.457,51,51,60,202.24,1292.15,3626,127
2023/3/15,1,86,146,1.194,53,53,87,212.6,1286.4,3621,127
2023/4/15,1,71,118,0.76,43,43,124,223.39,1280.71,3645,107
2023/5/15,1,55,97,0.745,37,37,153,234.47,1275.18,3706,105
2023/6/15,1,60,70,1.303,35,35,156,245.7,1269.91,3810,111
2023/7/15,1,61,74,0.823,35,35,177,256.93,1264.99,3964,122
2023/8/15,1,45,66,0.79,31,31,159,268.03,1260.52,4174,104
2023/9/15,2,50,59,0.837,43,43,109,278.86,1256.6,4449,83
2023/10/15,1,74,86,0.955,55,55,74,289.28,1253.33,4793,106
2023/11/15,0,119,85,1.983,62,62,25,299.14,1250.8,5215,153
2023/12/15,0,152,172,2.865,76,76,26,306.54,1249.37,5613,187
2023/1/16,2,68,88,1.584,53,53,42,316.69,1248.27,6312,97
2023/2/16,2,44,59,0.903,35,35,68,324.24,1248.15,6978,71
2023/3/16,1,93,136,1.229,57,57,79,330.98,1248.59,7709,132
2023/4/16,1,69,118,0.803,44,44,116,336.88,1249.42,8493,106
2023/5/16,1,54,90,0.665,38,38,160,341.94,1250.47,9317,111
2023/6/16,1,59,70,0.767,35,35,183,346.15,1251.58,10171,126
2023/7/16,1,69,74,0.916,33,33,159,349.51,1252.59,11044,118
2023/8/16,2,47,60,0.832,35,35,135,352,1253.33,11923,94
2023/9/16,2,55,73,0.76,43,43,104,353.62,1253.63,12798,86
2023/10/16,1,85,101,1.155,56,56,47,354.35,1253.34,13656,116
2023/11/16,1,100,134,1.797,68,68,28,354.19,1252.28,14487,133
2023/12/16,0,133,159,2.51,80,80,28,353.55,1251,15046,168
2023/1/17,1,116,131,2.203,65,65,41,351.25,1247.46,16024,146
2023/2/17,2,71,84,1.318,53,53,65,348.7,1244.2,16724,100
2023/3/17,2,63,84,0.913,50,50,86,345.7,1241.01,17379,94
2023/4/17,2,53,104,0.693,48,48,101,342.42,1238.37,17992,87
2023/5/17,1,48,104,0.674,37,37,161,339.05,1236.76,18562,134
2023/6/17,1,42,75,0.783,38,38,184,335.81,1236.67,19092,125
2023/7/17,1,52,71,0.894,34,34,174,332.86,1238.58,19582,118
2023/8/17,2,38,56,0.803,35,35,131,330.41,1242.97,20033,85
2023/9/17,2,58,100,0.913,49,49,123,328.65,1250.32,20448,98
2023/10/17,2,57,63,0.923,46,46,47,327.76,1261.12,20826,84
2023/11/17,2,46,73,0.903,49,49,44,327.95,1275.85,21170,75
2023/12/17,2,44,68,1.09,49,49,25,328.65,1386.78,21361,81
2023/1/18,2,34,65,0.768,39,39,48,332.11,1318.46,21759,64
2023/2/18,2,50,72,0.786,31,31,70,335.91,1345.53,22009,80
2023/3/18,1,82,104,1.003,53,53,81,340.57,1375.4,22234,115
2023/4/18,2,59,108,0.673,38,38,115,345.88,1407.3,22435,98
2023/5/18,2,45,85,0.648,36,36,134,351.64,1440.41,22616,91
2023/6/18,1,43,67,0.7,32,32,168,357.62,1473.97,22779,111
2023/7/18,2,44,48,0.787,24,24,135,363.61,1507.17,22928,89
2023/8/18,2,31,46,0.745,26,26,133,369.4,1539.23,23066,83
2023/9/18,2,28,45,0.543,34,34,93,374.77,1569.35,23195,60
2023/10/18,2,42,59,0.668,45,45,70,379.52,1596.74,23319,74
2023/11/18,1,71,104,1.07,60,60,37,383.43,1620.62,23439,108
2023/12/18,2,38,73,0.835,46,46,40,385,1631,23500,71
2023/1/19,2,51,80,0.997,50,50,44,388.05,1655.13,23683,81
2023/2/19,2,53,72,0.807,35,35,65,388.83,1665.36,23810,80
2023/3/19,2,52,80,0.635,39,39,86,388.75,1670.9,23944,85
2023/4/19,2,48,91,0.547,34,34,103,387.92,1671.77,24087,84
2023/5/19,2,37,78,0.503,34,34,143,386.47,1667.98,24240,93
2023/6/19,1,39,60,0.713,27,27,179,384.51,1659.54,24405,121
2023/7/19,1,37,50,0.661,27,27,159,382.16,1646.44,24585,108
2023/8/19,2,23,37,0.571,26,26,118,379.53,1628.71,24781,72
2023/9/19,2,36,58,0.67,33,33,151,376.76,1606.34,24996,97
2023/10/19,2,40,66,0.681,41,41,42,373.96,1579.36,25232,68
2023/11/19,2,44,78,0.797,48,48,32,371.24,1547.75,25490,76
2023/12/19,2,44,60,0.845,46,46,37,370.2,1533.82,25600,73
2023/1/20,2,59,65,0.955,40,40,53,366.38,1471.42,26073,86
2023/2/20,2,62,57,0.883,27,27,66,364.15,1428.29,26382,89
2023/3/20,2,35,53,0.484,25,25,84,361.92,1383.21,26690,63
2023/4/20,2,31,67,0.403,22,22,119,359.59,1337.2,26986,75
2023/5/20,2,36,62,0.603,23,23,124,357.07,1291.27,27259,85
2023/6/20,1,32,67,0.567,23,23,174,354.26,1246.45,27500,116
2023/7/20,2,41,47,0.671,21,21,150,351.06,1203.75,27697,99
2023/8/20,2,28,41,0.645,22,22,131,347.38,1164.2,27840,80
2023/9/20,2,24,35,0.537,26,26,96,343.11,1128.82,27919,56
2023/10/20,2,42,70,0.561,41,41,60,338.17,1098.62,27923,72
2023/11/20,2,37,62,0.653,42,42,41,332.46,1074.62,27842,66
2023/12/20,2,28,56,0.619,38,38,40,330.58,1068.78,27800,56
2023/1/21,2,33,55,0.69,31,31,49,318.54,1047.79,27402,72
2023/2/21,2,61,75,0.804,28,28,73,310.57,1043.94,27059,94
2023/3/21,1,64,66,0.703,35,35,71,302.14,1045.35,26650,149
2023/4/21,2,29,59,0.437,27,27,106,293.43,1051.18,26188,71
2023/5/21,2,18,49,0.419,21,21,122,284.6,1060.59,25684,84
2023/6/21,2,19,43,0.533,19,19,139,275.82,1072.74,25150,85
2023/7/21,2,16,32,0.574,14,14,121,267.25,1086.78,24600,71
2023/8/21,2,18,36,0.594,15,15,124,259.05,1101.88,24044,72
2023/9/21,2,18,36,0.63,21,21,99,251.4,1117.19,23496,57
2023/10/21,3,25,43,0.471,30,30,58,244.46,1131.88,22967,50
2023/11/21,2,44,65,0.643,36,36,42,238.39,1145.11,22469,75
2023/12/21,2,27,52,0.581,36,36,40,237.3,1147.5,22375,55
2023/1/22,2,45,52,0.742,34,34,45,229.55,1163.79,21617,68
2023/2/22,3,22,37,0.436,20,20,72,227.11,1167.57,21286,47
